Section,Question,Answer
Basic Accounts,What is a Savings Account?,"A savings account lets you keep your money safe in a bank while earning a small interest, usually around 2–4% per year."
Basic Accounts,What is a Current Account?,A current account is mainly for businesses. It allows unlimited daily transactions but doesn't pay interest on the balance.
Basic Accounts,What is a Fixed Deposit?,A fixed deposit lets you lock in a sum of money for a set period to earn a higher interest rate than a regular savings account.
Basic Accounts,What does KYC stand for?,KYC stands for Know Your Customer. It's how banks verify who you are using documents like Aadhaar or PAN card.
Basic Accounts,What is a cheque?,A cheque is a written instruction to your bank to pay a specific amount to someone else from your account.
Basic Accounts,What happens when a cheque bounces?,"When a cheque bounces, the bank refuses to pay it — usually because there's not enough money in the account. It can lead to a penalty or even legal action."
Basic Accounts,What is a Demand Draft?,"A demand draft is a prepaid payment made through the bank, so it can't bounce. It's great for paying college fees or government offices."
Basic Accounts,What is an overdraft?,"An overdraft lets you withdraw more money than you have in your account, up to a limit set by the bank. You pay interest on what you use."
Basic Accounts,What is a joint account?,A joint account is shared between two or more people. All account holders can access and manage the funds together.
Basic Accounts,What is a nominee in a bank account?,"A nominee is someone you choose to receive your account funds if you pass away. They don't legally own the money, but they receive it on behalf of your family."
Basic Accounts,What is a Recurring Deposit?,"A recurring deposit lets you save a fixed amount every month for a chosen period. At the end, you get back all your money plus interest."
Basic Accounts,What is a zero balance account?,A zero balance account doesn't require you to keep any minimum amount. You can open it with no money and use it freely.
Basic Accounts,Can a minor open a bank account?,"Yes, a minor below 18 can open a bank account, but it's operated by a parent or guardian until they turn 18."
Basic Accounts,What is a senior citizen savings account?,It's a special savings account for people above 60 years. It offers higher interest rates and sometimes priority service at branches.
Basic Accounts,What is an NRI account?,"An NRI account is for Indians living abroad. There are three types — NRE, NRO, and FCNR — depending on the currency and whether funds need to be repatriated."
Basic Accounts,What is an account number?,Your account number is a unique code your bank gives your account. It's used to identify you during any transaction.
Basic Accounts,What is a bank passbook?,"A passbook is a small booklet your bank gives you. It records all your deposits, withdrawals, and the current balance in your account."
Basic Accounts,What is a cheque book?,A cheque book is a set of blank cheques given by your bank. You fill and sign them to make payments to others.
Basic Accounts,How much interest does a savings account earn?,Most Indian banks offer 2–4% per year on savings accounts. Some small finance banks offer up to 7%.
Basic Accounts,What is a dormant account?,"If you don't make any transaction in your account for 2 years, it becomes dormant and gets locked for security reasons."
Basic Accounts,What is a BSBD account?,BSBD stands for Basic Savings Bank Deposit account. It's a zero-balance account made for low-income individuals with basic banking features.
Basic Accounts,How do I reactivate a dormant account?,"Visit your bank branch with your KYC documents and submit a written request. Once verified, your account will be reactivated."
Basic Accounts,What is a sweep-in account?,"A sweep-in account automatically moves extra money above a threshold into a fixed deposit to earn higher interest, and brings it back when needed."
Basic Accounts,What is a bank locker?,"A bank locker is a small safe inside the bank where you can store valuables like gold, jewellery, or important documents for a yearly fee."
Basic Accounts,What documents are needed to open a bank account?,"You need an identity proof like Aadhaar or PAN card, address proof, passport-size photos, and a filled application form."
Basic Accounts,What is TDS on Fixed Deposit?,"If your FD interest is more than ₹40,000 a year, the bank deducts 10% TDS. For senior citizens, the limit is ₹50,000."
Basic Accounts,What is Form 15G?,Form 15G is a self-declaration form for people below 60. Submitting it tells the bank not to deduct TDS if your total income is below the taxable limit.
Basic Accounts,What is Form 15H?,Form 15H is for senior citizens. It asks the bank not to deduct TDS if their total tax payable is nil.
Basic Accounts,What is a salary account?,A salary account is a zero-balance savings account where your employer credits your salary each month. It often comes with extra perks like free insurance.
Basic Accounts,What is a tax-saving FD?,"A tax-saving FD has a 5-year lock-in and qualifies for deduction under Section 80C of the Income Tax Act, up to ₹1.5 lakh per year."
Basic Accounts,Can I withdraw an FD before maturity?,"Yes, but you'll usually pay a penalty of around 0.5–1% less interest than the original rate."
Basic Accounts,What is interest payout in FD?,"FD interest can be paid monthly, quarterly, half-yearly, or at maturity. Cumulative payout at maturity earns the most because of compounding."
Basic Accounts,What is DICGC insurance?,"DICGC insures your deposits up to ₹5 lakh per bank. So if the bank fails, you're guaranteed to get back up to ₹5 lakh."
Basic Accounts,What is a PPF account?,PPF is Public Provident Fund. It's a 15-year government savings scheme with tax-free interest of around 7.1% per year.
Basic Accounts,What is a Sukanya Samriddhi account?,It's a government savings scheme for girl children below 10 years. It offers around 8.2% interest and full tax exemption.
Basic Accounts,What is the Atal Pension Yojana?,"Atal Pension Yojana is a pension scheme for unorganized sector workers. You contribute until 60 and get a fixed monthly pension of ₹1,000 to ₹5,000."
Basic Accounts,What is PMJDY?,Pradhan Mantri Jan Dhan Yojana is a scheme to give every Indian a bank account. It offers a zero-balance account with a RuPay debit card and accident insurance.
Basic Accounts,What is a RuPay card?,"RuPay is India's own card payment network, like Visa or Mastercard but made by NPCI. It works at ATMs, POS machines, and for online payments."
Basic Accounts,What is the minimum balance in a savings account?,"It varies by bank. Government banks like SBI may require ₹0 to ₹3,000 while private banks may ask for ₹5,000 to ₹25,000 depending on the city."
Basic Accounts,What happens if I don't maintain minimum balance?,"The bank charges a non-maintenance fee, typically ₹100 to ₹500, if your account falls below the required minimum balance."
Basic Accounts,What is an escrow account?,An escrow account is a neutral account where money is held safely until both parties in a deal (like property purchase) meet their obligations.
Basic Accounts,What is a co-operative bank?,A co-operative bank is owned and run by its members. It mainly provides banking services to rural communities and small businesses.
Basic Accounts,What is a payments bank?,A payments bank can accept deposits up to ₹2 lakh and offer digital payments but cannot give loans. Examples include Airtel Payments Bank and India Post Payments Bank.
Basic Accounts,What is a small finance bank?,"A small finance bank serves people who don't have easy access to regular banking, like small farmers and micro businesses. Example: AU Small Finance Bank."
Basic Accounts,What is the NRE account used for?,NRE account is used by NRIs to park their foreign earnings in India in Indian rupees. The interest is tax-free in India and the money can be sent back abroad freely.
Basic Accounts,What is an NRO account?,"NRO is for managing income earned in India by an NRI, like rent or dividends. Interest is taxable and repatriation has limits."
Basic Accounts,What is a FCNR account?,"FCNR lets NRIs deposit money in foreign currency (USD, GBP, EUR, etc.) without any exchange rate risk. Interest is tax-free and the deposit is fully repatriable."
Basic Accounts,What is account nomination and why is it important?,"Nomination lets the bank release funds to your chosen person after your death, avoiding delays or legal complications for your family."
Basic Accounts,What is an inoperative account?,An account with no transactions for 2 years is called inoperative. You need to submit fresh KYC at the branch to make it active again.
Basic Accounts,How can I close a bank account?,"Visit your branch, submit a closure request form, return your debit card and unused cheques, and get any remaining balance transferred or in cash."
